id,name,icd_code,specialty,description,severity,chronic,treatment_available,prevalence
17,Pre-eclampsia,O14,Obstetrics,"Pre-eclampsia (ICD-10: O14) is a clinical diagnosis managed under Obstetrics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Yes,Uncommon
18,Early-Onset Vertigo,H81.3.X,ENT,"Early-Onset Vertigo (ICD-10: H81.3.X) is a clinical diagnosis managed under ENT. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Yes,Uncommon
19,Chronic Ovarian Cancer,C56.X,Oncology,"Chronic Ovarian Cancer (ICD-10: C56.X) is a clinical diagnosis managed under Oncology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Variable,Supportive,Uncommon
20,Drug-Induced Bronchiectasis,J47.X,Pulmonology,"Drug-Induced Bronchiectasis (ICD-10: J47.X) is a clinical diagnosis managed under Pulmonology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,No,Yes,Rare
21,Osteoarthritis,M19,Rheumatology,"Osteoarthritis (ICD-10: M19) is a clinical diagnosis managed under Rheumatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Yes,Very Common
22,Recurrent Hepatitis B,B16.X,Hepatology,"Recurrent Hepatitis B (ICD-10: B16.X) is a clinical diagnosis managed under Hepatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Curative,Very Common
23,Autoimmune Cellulitis,L03.X,Dermatology,"Autoimmune Cellulitis (ICD-10: L03.X) is a clinical diagnosis managed under Dermatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Yes,Very Common
24,Mild Gestational Diabetes Mellitus,O24.4.X,Obstetrics,"Mild Gestational Diabetes Mellitus (ICD-10: O24.4.X) is a clinical diagnosis managed under Obstetrics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Yes,Supportive,Uncommon
25,Recurrent Psoriatic Arthritis,L40.5.X,Rheumatology,"Recurrent Psoriatic Arthritis (ICD-10: L40.5.X) is a clinical diagnosis managed under Rheumatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Supportive,Very Common
26,Recurrent Atrial Fibrillation,I48.X,Cardiology,"Recurrent Atrial Fibrillation (ICD-10: I48.X) is a clinical diagnosis managed under Cardiology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,No,Supportive,Very Common
27,Drug-Induced Guillain-Barré Syndrome,G61.0.X,Neurology,"Drug-Induced Guillain-Barré Syndrome (ICD-10: G61.0.X) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Yes,Supportive,Uncommon
28,Early-Onset Systemic Lupus Erythematosus,M32.X,Rheumatology,"Early-Onset Systemic Lupus Erythematosus (ICD-10: M32.X) is a clinical diagnosis managed under Rheumatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Yes,Yes,Uncommon
29,Congenital Transient Ischemic Attack,G45.9.X,Neurology,"Congenital Transient Ischemic Attack (ICD-10: G45.9.X) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Curative,Rare
30,Idiopathic Systemic Lupus Erythematosus,M32.X,Rheumatology,"Idiopathic Systemic Lupus Erythematosus (ICD-10: M32.X) is a clinical diagnosis managed under Rheumatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Supportive,Very Common
31,Congenital Encephalitis,G04.X,Neurology,"Congenital Encephalitis (ICD-10: G04.X) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,No,Supportive,Rare
32,Acute Meningitis,G03.X,Neurology,"Acute Meningitis (ICD-10: G03.X) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,No,Yes,Common
33,Acute Cellulitis,L03.X,Dermatology,"Acute Cellulitis (ICD-10: L03.X) is a clinical diagnosis managed under Dermatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Variable,Yes,Uncommon
34,Drug-Induced Encephalitis,G04.X,Neurology,"Drug-Induced Encephalitis (ICD-10: G04.X) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Curative,Rare
35,Appendicitis,K37,General Surgery,"Appendicitis (ICD-10: K37) is a clinical diagnosis managed under General Surgery. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Variable,Curative,Rare
36,Moderate Cardiomyopathy,I42.X,Cardiology,"Moderate Cardiomyopathy (ICD-10: I42.X) is a clinical diagnosis managed under Cardiology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Variable,Supportive,Very Common
37,Drug-Induced Epilepsy,G40.X,Neurology,"Drug-Induced Epilepsy (ICD-10: G40.X) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Yes,Supportive,Common
38,Autoimmune Schizophrenia,F20.X,Psychiatry,"Autoimmune Schizophrenia (ICD-10: F20.X) is a clinical diagnosis managed under Psychiatry. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Variable,Curative,Common
39,Post-Operative Heart Failure,I50.X,Cardiology,"Post-Operative Heart Failure (ICD-10: I50.X) is a clinical diagnosis managed under Cardiology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Curative,Very Common
40,Secondary HIV/AIDS,B20.X,Infectious Disease,"Secondary HIV/AIDS (ICD-10: B20.X) is a clinical diagnosis managed under Infectious Disease. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Yes,Uncommon
41,Conjunctivitis,H10,Ophthalmology,"Conjunctivitis (ICD-10: H10) is a clinical diagnosis managed under Ophthalmology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Yes,Very Common
42,Primary Interstitial Lung Disease,J84.X,Pulmonology,"Primary Interstitial Lung Disease (ICD-10: J84.X) is a clinical diagnosis managed under Pulmonology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Variable,Curative,Common
43,Chronic Rosacea,L71.X,Dermatology,"Chronic Rosacea (ICD-10: L71.X) is a clinical diagnosis managed under Dermatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Yes,Very Common
44,Severe Obsessive-Compulsive Disorder,F42.X,Psychiatry,"Severe Obsessive-Compulsive Disorder (ICD-10: F42.X) is a clinical diagnosis managed under Psychiatry. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Variable,Supportive,Very Common
45,Glaucoma,H40,Ophthalmology,"Glaucoma (ICD-10: H40) is a clinical diagnosis managed under Ophthalmology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Variable,Supportive,Common
46,Acute Diabetes Insipidus,E23.2.X,Endocrinology,"Acute Diabetes Insipidus (ICD-10: E23.2.X) is a clinical diagnosis managed under Endocrinology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Variable,Curative,Rare
47,Severe Non-Alcoholic Fatty Liver Disease,K76.0.X,Hepatology,"Severe Non-Alcoholic Fatty Liver Disease (ICD-10: K76.0.X) is a clinical diagnosis managed under Hepatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Curative,Uncommon
48,Severe Polycystic Ovarian Syndrome,E28.2.X,Gynecology,"Severe Polycystic Ovarian Syndrome (ICD-10: E28.2.X) is a clinical diagnosis managed under Gynecology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Variable,Supportive,Common
49,Chronic Leptospirosis,A27.X,Infectious Disease,"Chronic Leptospirosis (ICD-10: A27.X) is a clinical diagnosis managed under Infectious Disease. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Yes,Common
50,Recurrent Community-Acquired Pneumonia,J18.X,Pulmonology,"Recurrent Community-Acquired Pneumonia (ICD-10: J18.X) is a clinical diagnosis managed under Pulmonology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Variable,Supportive,Very Common
51,Acute Migraine,G43.X,Neurology,"Acute Migraine (ICD-10: G43.X) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Variable,Supportive,Uncommon
52,Severe Addison's Disease,E27.1.X,Endocrinology,"Severe Addison's Disease (ICD-10: E27.1.X) is a clinical diagnosis managed under Endocrinology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Yes,Uncommon
53,Congenital Major Depressive Disorder,F32.X,Psychiatry,"Congenital Major Depressive Disorder (ICD-10: F32.X) is a clinical diagnosis managed under Psychiatry. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Yes,Common
54,Early-Onset Urticaria,L50.X,Dermatology,"Early-Onset Urticaria (ICD-10: L50.X) is a clinical diagnosis managed under Dermatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Variable,Yes,Uncommon
55,Late-Onset Cholecystitis,K81.X,General Surgery,"Late-Onset Cholecystitis (ICD-10: K81.X) is a clinical diagnosis managed under General Surgery. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Yes,Curative,Uncommon
56,Recurrent Malaria,B54.X,Infectious Disease,"Recurrent Malaria (ICD-10: B54.X) is a clinical diagnosis managed under Infectious Disease. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Supportive,Very Common
57,Drug-Induced Age-Related Macular Degeneration,H35.3.X,Ophthalmology,"Drug-Induced Age-Related Macular Degeneration (ICD-10: H35.3.X) is a clinical diagnosis managed under Ophthalmology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Variable,Yes,Common
58,Chronic Bell's Palsy,G51.0.X,Neurology,"Chronic Bell's Palsy (ICD-10: G51.0.X) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Yes,Supportive,Common
59,Secondary Sepsis,A41.9.X,Critical Care,"Secondary Sepsis (ICD-10: A41.9.X) is a clinical diagnosis managed under Critical Care. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Yes,Supportive,Common
60,Vertigo,H81.3,ENT,"Vertigo (ICD-10: H81.3) is a clinical diagnosis managed under ENT. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Supportive,Common
61,Congenital Cardiomyopathy,I42.X,Cardiology,"Congenital Cardiomyopathy (ICD-10: I42.X) is a clinical diagnosis managed under Cardiology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Supportive,Common
62,Cardiomyopathy,I42,Cardiology,"Cardiomyopathy (ICD-10: I42) is a clinical diagnosis managed under Cardiology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Yes,Common
63,Autoimmune Deep Vein Thrombosis,I82.4.X,Vascular Surgery,"Autoimmune Deep Vein Thrombosis (ICD-10: I82.4.X) is a clinical diagnosis managed under Vascular Surgery. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Variable,Curative,Rare
64,Acute Pancreatitis,K85,Gastroenterology,"Acute Pancreatitis (ICD-10: K85) is a clinical diagnosis managed under Gastroenterology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Supportive,Very Common
65,Primary Transient Ischemic Attack,G45.9.X,Neurology,"Primary Transient Ischemic Attack (ICD-10: G45.9.X) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,No,Curative,Rare
66,Primary Allergic Rhinitis,J30.X,ENT,"Primary Allergic Rhinitis (ICD-10: J30.X) is a clinical diagnosis managed under ENT. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Yes,Supportive,Very Common
67,Recurrent Bronchial Asthma,J45.X,Pulmonology,"Recurrent Bronchial Asthma (ICD-10: J45.X) is a clinical diagnosis managed under Pulmonology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Variable,Yes,Rare
68,Moderate Cervical Cancer,C53.X,Psychiatry,"Moderate Cervical Cancer (ICD-10: C53.X) is a clinical diagnosis managed under Psychiatry. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Supportive,Very Common
69,Congenital Chronic Pancreatitis,K86.1.X,Gastroenterology,"Congenital Chronic Pancreatitis (ICD-10: K86.1.X) is a clinical diagnosis managed under Gastroenterology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Yes,Curative,Common
70,Moderate Acne Vulgaris,L70.0.X,Dermatology,"Moderate Acne Vulgaris (ICD-10: L70.0.X) is a clinical diagnosis managed under Dermatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Variable,Yes,Rare
71,Recurrent Pulmonary Tuberculosis,A15.X,Pulmonology,"Recurrent Pulmonary Tuberculosis (ICD-10: A15.X) is a clinical diagnosis managed under Pulmonology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Variable,Curative,Very Common
72,Late-Onset Low Back Pain,M54.5.X,Orthopedics,"Late-Onset Low Back Pain (ICD-10: M54.5.X) is a clinical diagnosis managed under Orthopedics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Variable,Yes,Common
73,Late-Onset Otitis Media,H65.X,ENT,"Late-Onset Otitis Media (ICD-10: H65.X) is a clinical diagnosis managed under ENT. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Yes,Curative,Rare
74,Chronic Stable Angina Pectoris,I20.X,Cardiology,"Chronic Stable Angina Pectoris (ICD-10: I20.X) is a clinical diagnosis managed under Cardiology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Variable,Supportive,Very Common
75,Congenital Placenta Previa,O44.X,Obstetrics,"Congenital Placenta Previa (ICD-10: O44.X) is a clinical diagnosis managed under Obstetrics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Variable,Supportive,Very Common
76,Late-Onset Ectopic Pregnancy,O00.X,Obstetrics,"Late-Onset Ectopic Pregnancy (ICD-10: O00.X) is a clinical diagnosis managed under Obstetrics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,No,Supportive,Very Common
77,Late-Onset Colorectal Cancer,C18.X,Oncology,"Late-Onset Colorectal Cancer (ICD-10: C18.X) is a clinical diagnosis managed under Oncology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Variable,Supportive,Rare
78,Chronic Diabetes Insipidus,E23.2.X,Endocrinology,"Chronic Diabetes Insipidus (ICD-10: E23.2.X) is a clinical diagnosis managed under Endocrinology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Variable,Yes,Common
79,Chronic Thrombocytopenia,D69.6.X,Hematology,"Chronic Thrombocytopenia (ICD-10: D69.6.X) is a clinical diagnosis managed under Hematology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Yes,Rare
80,Drug-Induced Dengue Fever,A90.X,Infectious Disease,"Drug-Induced Dengue Fever (ICD-10: A90.X) is a clinical diagnosis managed under Infectious Disease. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Yes,Supportive,Common
81,Psoriasis,L40,Dermatology,"Psoriasis (ICD-10: L40) is a clinical diagnosis managed under Dermatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Variable,Curative,Uncommon
82,Acute Seborrheic Dermatitis,L21.X,Dermatology,"Acute Seborrheic Dermatitis (ICD-10: L21.X) is a clinical diagnosis managed under Dermatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Yes,Yes,Common
83,Drug-Induced Metabolic Syndrome,E88.81.X,Endocrinology,"Drug-Induced Metabolic Syndrome (ICD-10: E88.81.X) is a clinical diagnosis managed under Endocrinology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,No,Curative,Common
84,Late-Onset Bell's Palsy,G51.0.X,Neurology,"Late-Onset Bell's Palsy (ICD-10: G51.0.X) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Supportive,Rare
85,Chronic Hypoparathyroidism,E20.X,Endocrinology,"Chronic Hypoparathyroidism (ICD-10: E20.X) is a clinical diagnosis managed under Endocrinology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Variable,Supportive,Very Common
86,Leukemia,C91,General Surgery,"Leukemia (ICD-10: C91) is a clinical diagnosis managed under General Surgery. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Variable,Yes,Very Common
87,Idiopathic Sinusitis,J32.X,ENT,"Idiopathic Sinusitis (ICD-10: J32.X) is a clinical diagnosis managed under ENT. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Variable,Supportive,Uncommon
88,Late-Onset COVID-19,U07.1.X,Infectious Disease,"Late-Onset COVID-19 (ICD-10: U07.1.X) is a clinical diagnosis managed under Infectious Disease. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Variable,Supportive,Very Common
89,Primary Sepsis,A41.9.X,Critical Care,"Primary Sepsis (ICD-10: A41.9.X) is a clinical diagnosis managed under Critical Care. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Variable,Curative,Very Common
90,Late-Onset Meningitis,G03.X,Neurology,"Late-Onset Meningitis (ICD-10: G03.X) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Yes,Supportive,Common
91,Congenital Ankylosing Spondylitis,M45.X,Rheumatology,"Congenital Ankylosing Spondylitis (ICD-10: M45.X) is a clinical diagnosis managed under Rheumatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Yes,Yes,Common
92,Secondary Low Back Pain,M54.5.X,Orthopedics,"Secondary Low Back Pain (ICD-10: M54.5.X) is a clinical diagnosis managed under Orthopedics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Variable,Curative,Uncommon
93,Moderate Conjunctivitis,H10.X,Ophthalmology,"Moderate Conjunctivitis (ICD-10: H10.X) is a clinical diagnosis managed under Ophthalmology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Variable,Supportive,Uncommon
94,Autoimmune Bell's Palsy,G51.0.X,Neurology,"Autoimmune Bell's Palsy (ICD-10: G51.0.X) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,No,Curative,Common
95,Primary Polycystic Ovarian Syndrome,E28.2.X,Gynecology,"Primary Polycystic Ovarian Syndrome (ICD-10: E28.2.X) is a clinical diagnosis managed under Gynecology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Yes,Curative,Uncommon
96,Lymphoma,C85,Gynecology,"Lymphoma (ICD-10: C85) is a clinical diagnosis managed under Gynecology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Supportive,Uncommon
97,Myasthenia Gravis,G70.0,Neurology,"Myasthenia Gravis (ICD-10: G70.0) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Yes,Supportive,Common
98,Severe Addison's Disease Type 2,E27.1.X,Endocrinology,"Severe Addison's Disease Type 2 (ICD-10: E27.1.X) is a clinical diagnosis managed under Endocrinology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Yes,Rare
99,Drug-Induced Non-Alcoholic Fatty Liver Disease,K76.0.X,Hepatology,"Drug-Induced Non-Alcoholic Fatty Liver Disease (ICD-10: K76.0.X) is a clinical diagnosis managed under Hepatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Curative,Very Common
100,Acute Breast Cancer,C50.X,Oncology,"Acute Breast Cancer (ICD-10: C50.X) is a clinical diagnosis managed under Oncology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Variable,Supportive,Uncommon
101,Drug-Induced Osteoporosis,M81.X,Rheumatology,"Drug-Induced Osteoporosis (ICD-10: M81.X) is a clinical diagnosis managed under Rheumatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Variable,Supportive,Rare
102,Recurrent Malaria Type 2,B54.X,Infectious Disease,"Recurrent Malaria Type 2 (ICD-10: B54.X) is a clinical diagnosis managed under Infectious Disease. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,No,Curative,Very Common
103,Recurrent Ventricular Tachycardia Type 3,I47.2.X,Cardiology,"Recurrent Ventricular Tachycardia Type 3 (ICD-10: I47.2.X) is a clinical diagnosis managed under Cardiology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Supportive,Very Common
