id,name,generic_name,category,manufacturer,dosage_form,strength,description,drug_class,prescription_required,storage
26,Piperacillin-Tazobactam,Piperacillin-Tazobactam,Antidiabetic,Abbott India,Injection,4.5g,Piperacillin-Tazobactam 4.5g Injection is a antibiotic used in the management of various conditions. Manufactured by Abbott India. Each injection contains 4.5g of active ingredient.,Antibiotic,No,Store away from light
27,Bevacizumab,Bevacizumab,Antipsychotic,Emcure Pharma,Injection,400mg/16ml,Bevacizumab 400mg/16ml Injection is a vegf inhibitor used in the management of various conditions. Manufactured by Emcure Pharma. Each injection contains 400mg/16ml of active ingredient.,VEGF Inhibitor,Yes,Store below 25°C
28,Remdesivir Extended Release,Remdesivir,Corticosteroid,Aristo Pharma,Injection,25mg,Remdesivir Extended Release 25mg Injection is a antiviral used in the management of various conditions. Manufactured by Aristo Pharma. Each injection contains 25mg of active ingredient.,Antiviral,No,Store away from light
29,Atorvastatin Extended Release,Atorvastatin,Antimalarial,Mankind Pharma,Tablet,1g,Atorvastatin Extended Release 1g Tablet is a statin used in the management of various conditions. Manufactured by Mankind Pharma. Each tablet contains 1g of active ingredient.,Statin,Yes,Store below 25°C
30,Amlodipine,Amlodipine,Anticoagulant,Dr. Reddy's,Tablet,10mg,Amlodipine 10mg Tablet is a calcium channel blocker used in the management of various conditions. Manufactured by Dr. Reddy's. Each tablet contains 10mg of active ingredient.,Calcium Channel Blocker,Yes,Store below 25°C
31,Enalapril Extended Release,Enalapril,Antipsychotic,Novartis India,Tablet,50mg,Enalapril Extended Release 50mg Tablet is a ace inhibitor used in the management of various conditions. Manufactured by Novartis India. Each tablet contains 50mg of active ingredient.,ACE Inhibitor,No,Store below 25°C
32,Mebendazole XR,Mebendazole XR,Bronchodilator,Himalaya,Tablet,100mg,Mebendazole XR 100mg Tablet is a anthelmintic used in the management of various conditions. Manufactured by Himalaya. Each tablet contains 100mg of active ingredient.,Anthelmintic,Yes,Store away from light
33,Phenytoin,Phenytoin,Antibiotic,Micro Labs,Capsule,100mg,Phenytoin 100mg Capsule is a antiepileptic used in the management of various conditions. Manufactured by Micro Labs. Each capsule contains 100mg of active ingredient.,Antiepileptic,Yes,Store in dry place
34,Ciprofloxacin SR,Ciprofloxacin SR,Analgesic,Pfizer India,Tablet,50mg,Ciprofloxacin SR 50mg Tablet is a antibiotic used in the management of various conditions. Manufactured by Pfizer India. Each tablet contains 50mg of active ingredient.,Antibiotic,Yes,Store away from light
35,Norepinephrine Forte,Norepinephrine Forte,NSAID,Aristo Pharma,Injection,1g,Norepinephrine Forte 1g Injection is a vasopressor used in the management of various conditions. Manufactured by Aristo Pharma. Each injection contains 1g of active ingredient.,Vasopressor,No,Store below 25°C
36,Solifenacin,Solifenacin,Antidiabetic,Emcure Pharma,Tablet,5mg,Solifenacin 5mg Tablet is a anticholinergic used in the management of various conditions. Manufactured by Emcure Pharma. Each tablet contains 5mg of active ingredient.,Anticholinergic,No,Store below 25°C
37,Ivabradine,Ivabradine,Antibiotic,Sun Pharma,Tablet,5mg,Ivabradine 5mg Tablet is a if-channel blocker used in the management of various conditions. Manufactured by Sun Pharma. Each tablet contains 5mg of active ingredient.,If-Channel Blocker,No,Refrigerate 2-8°C
38,Fluticasone XR,Fluticasone XR,Antiviral,Novartis India,Inhaler,250mg,Fluticasone XR 250mg Inhaler is a corticosteroid used in the management of various conditions. Manufactured by Novartis India. Each inhaler contains 250mg of active ingredient.,Corticosteroid,Yes,Store below 25°C
39,Enoxaparin SR,Enoxaparin SR,Hormonal,Elder Pharma,Injection,500mg,Enoxaparin SR 500mg Injection is a lmwh used in the management of various conditions. Manufactured by Elder Pharma. Each injection contains 500mg of active ingredient.,LMWH,Yes,Store below 25°C
40,Carbamazepine Junior,Carbamazepine Junior,Antihypertensive,Sun Pharma,Tablet,100mg,Carbamazepine Junior 100mg Tablet is a antiepileptic used in the management of various conditions. Manufactured by Sun Pharma. Each tablet contains 100mg of active ingredient.,Antiepileptic,No,Store away from light
41,Meropenem Forte,Meropenem Forte,Antihypertensive,Abbott India,Injection,100mg,Meropenem Forte 100mg Injection is a antibiotic used in the management of various conditions. Manufactured by Abbott India. Each injection contains 100mg of active ingredient.,Antibiotic,Yes,Store below 25°C
42,Fluticasone XR 41,Fluticasone XR,Antimalarial,Cipla,Inhaler,10mg,Fluticasone XR 41 10mg Inhaler is a corticosteroid used in the management of various conditions. Manufactured by Cipla. Each inhaler contains 10mg of active ingredient.,Corticosteroid,Yes,Refrigerate 2-8°C
43,Azithromycin Forte,Azithromycin Forte,Antifungal,Elder Pharma,Tablet,500mg,Azithromycin Forte 500mg Tablet is a antibiotic used in the management of various conditions. Manufactured by Elder Pharma. Each tablet contains 500mg of active ingredient.,Antibiotic,Yes,Store away from light
44,Isosorbide Mononitrate XR,Isosorbide Mononitrate XR,Antiviral,Sun Pharma,Tablet,1g,Isosorbide Mononitrate XR 1g Tablet is a nitrate used in the management of various conditions. Manufactured by Sun Pharma. Each tablet contains 1g of active ingredient.,Nitrate,Yes,Refrigerate 2-8°C
45,Memantine,Memantine,Proton Pump Inhibitor,Torrent Pharma,Tablet,10mg,Memantine 10mg Tablet is a nmda antagonist used in the management of various conditions. Manufactured by Torrent Pharma. Each tablet contains 10mg of active ingredient.,NMDA Antagonist,No,Store in dry place
46,Albendazole Junior,Albendazole Junior,Antimalarial,Alkem Labs,Tablet,25mg,Albendazole Junior 25mg Tablet is a anthelmintic used in the management of various conditions. Manufactured by Alkem Labs. Each tablet contains 25mg of active ingredient.,Anthelmintic,No,Store below 25°C
47,Tretinoin Extended Release,Tretinoin,Dermatological,Sanofi India,Cream,25mg,Tretinoin Extended Release 25mg Cream is a retinoid used in the management of various conditions. Manufactured by Sanofi India. Each cream contains 25mg of active ingredient.,Retinoid,No,Store in dry place
48,Methimazole XR,Methimazole XR,Antifungal,Aurobindo Pharma,Tablet,100mg,Methimazole XR 100mg Tablet is a antithyroid used in the management of various conditions. Manufactured by Aurobindo Pharma. Each tablet contains 100mg of active ingredient.,Antithyroid,Yes,Store below 25°C
49,Salbutamol Sustained Release,Salbutamol,Antidepressant,Dr. Reddy's,Inhaler,250mg,Salbutamol Sustained Release 250mg Inhaler is a bronchodilator used in the management of various conditions. Manufactured by Dr. Reddy's. Each inhaler contains 250mg of active ingredient.,Bronchodilator,Yes,Refrigerate 2-8°C
50,Empagliflozin Junior,Empagliflozin Junior,Proton Pump Inhibitor,Wockhardt,Tablet,1g,Empagliflozin Junior 1g Tablet is a sglt2 inhibitor used in the management of various conditions. Manufactured by Wockhardt. Each tablet contains 1g of active ingredient.,SGLT2 Inhibitor,No,Store below 25°C
51,Propylthiouracil SR,Propylthiouracil SR,Oncology,Glenmark,Tablet,100mg,Propylthiouracil SR 100mg Tablet is a antithyroid used in the management of various conditions. Manufactured by Glenmark. Each tablet contains 100mg of active ingredient.,Antithyroid,Yes,Store away from light
52,Canagliflozin,Canagliflozin,Immunosuppressant,Aristo Pharma,Tablet,100mg,Canagliflozin 100mg Tablet is a sglt2 inhibitor used in the management of various conditions. Manufactured by Aristo Pharma. Each tablet contains 100mg of active ingredient.,SGLT2 Inhibitor,Yes,Store in dry place
53,Lactulose,Lactulose,Antidepressant,Glenmark,Syrup,3.35g/5ml,Lactulose 3.35g/5ml Syrup is a laxative used in the management of various conditions. Manufactured by Glenmark. Each syrup contains 3.35g/5ml of active ingredient.,Laxative,No,Store below 25°C
54,Levothyroxine,Levothyroxine,Dermatological,IPCA Labs,Tablet,50mcg,Levothyroxine 50mcg Tablet is a thyroid hormone used in the management of various conditions. Manufactured by IPCA Labs. Each tablet contains 50mcg of active ingredient.,Thyroid Hormone,No,Store below 25°C
55,Liraglutide,Liraglutide,Antidepressant,Max Healthcare Pharma,Injection,6mg/ml,Liraglutide 6mg/ml Injection is a glp-1 agonist used in the management of various conditions. Manufactured by Max Healthcare Pharma. Each injection contains 6mg/ml of active ingredient.,GLP-1 Agonist,Yes,Store away from light
56,Albendazole Dispersible,Albendazole Dispersible,Corticosteroid,Micro Labs,Tablet,1g,Albendazole Dispersible 1g Tablet is a anthelmintic used in the management of various conditions. Manufactured by Micro Labs. Each tablet contains 1g of active ingredient.,Anthelmintic,No,Refrigerate 2-8°C
57,Olanzapine SR,Olanzapine SR,Bronchodilator,Lupin,Tablet,500mg,Olanzapine SR 500mg Tablet is a antipsychotic used in the management of various conditions. Manufactured by Lupin. Each tablet contains 500mg of active ingredient.,Antipsychotic,No,Store in dry place
58,Azithromycin IV,Azithromycin IV,NSAID,Aristo Pharma,Tablet,10mg,Azithromycin IV 10mg Tablet is a antibiotic used in the management of various conditions. Manufactured by Aristo Pharma. Each tablet contains 10mg of active ingredient.,Antibiotic,Yes,Refrigerate 2-8°C
59,Diclofenac,Diclofenac,Antiviral,Elder Pharma,Tablet,50mg,Diclofenac 50mg Tablet is a nsaid used in the management of various conditions. Manufactured by Elder Pharma. Each tablet contains 50mg of active ingredient.,NSAID,Yes,Refrigerate 2-8°C
60,Zinc Sulfate,Zinc Sulfate,Bronchodilator,Pfizer India,Tablet,20mg,Zinc Sulfate 20mg Tablet is a mineral used in the management of various conditions. Manufactured by Pfizer India. Each tablet contains 20mg of active ingredient.,Mineral,Yes,Store in dry place
61,Morphine Extended Release,Morphine,Analgesic,Elder Pharma,Injection,50mg,Morphine Extended Release 50mg Injection is a opioid analgesic used in the management of various conditions. Manufactured by Elder Pharma. Each injection contains 50mg of active ingredient.,Opioid Analgesic,Yes,Refrigerate 2-8°C
62,Moxifloxacin,Moxifloxacin,Proton Pump Inhibitor,Elder Pharma,Tablet,400mg,Moxifloxacin 400mg Tablet is a antibiotic used in the management of various conditions. Manufactured by Elder Pharma. Each tablet contains 400mg of active ingredient.,Antibiotic,Yes,Store in dry place
63,Losartan XR,Losartan XR,Immunosuppressant,Pfizer India,Tablet,25mg,Losartan XR 25mg Tablet is a arb used in the management of various conditions. Manufactured by Pfizer India. Each tablet contains 25mg of active ingredient.,ARB,Yes,Store below 25°C
64,Rivaroxaban,Rivaroxaban,Bronchodilator,Cipla,Tablet,20mg,Rivaroxaban 20mg Tablet is a noac used in the management of various conditions. Manufactured by Cipla. Each tablet contains 20mg of active ingredient.,NOAC,No,Store below 25°C
65,Adapalene SR,Adapalene SR,Immunosuppressant,Micro Labs,Gel,25mg,Adapalene SR 25mg Gel is a retinoid used in the management of various conditions. Manufactured by Micro Labs. Each gel contains 25mg of active ingredient.,Retinoid,Yes,Store in dry place
66,Tamoxifen SR,Tamoxifen SR,Proton Pump Inhibitor,Sanofi India,Tablet,1g,Tamoxifen SR 1g Tablet is a anti-estrogen used in the management of various conditions. Manufactured by Sanofi India. Each tablet contains 1g of active ingredient.,Anti-Estrogen,No,Store in dry place
67,Naproxen XR,Naproxen XR,Anticoagulant,Himalaya,Tablet,250mg,Naproxen XR 250mg Tablet is a nsaid used in the management of various conditions. Manufactured by Himalaya. Each tablet contains 250mg of active ingredient.,NSAID,Yes,Store below 25°C
68,Dexamethasone,Dexamethasone,Statin,Sun Pharma,Tablet,4mg,Dexamethasone 4mg Tablet is a corticosteroid used in the management of various conditions. Manufactured by Sun Pharma. Each tablet contains 4mg of active ingredient.,Corticosteroid,No,Store below 25°C
69,Folic Acid,Folic Acid,Corticosteroid,Micro Labs,Tablet,5mg,Folic Acid 5mg Tablet is a vitamin used in the management of various conditions. Manufactured by Micro Labs. Each tablet contains 5mg of active ingredient.,Vitamin,Yes,Store in dry place
70,Mebendazole Plus 69,Mebendazole,Urological,Himalaya,Tablet,25mg,Mebendazole Plus 69 25mg Tablet is a anthelmintic used in the management of various conditions. Manufactured by Himalaya. Each tablet contains 25mg of active ingredient.,Anthelmintic,Yes,Store below 25°C
71,Estradiol,Estradiol,Antiepileptic,IPCA Labs,Tablet,2mg,Estradiol 2mg Tablet is a estrogen used in the management of various conditions. Manufactured by IPCA Labs. Each tablet contains 2mg of active ingredient.,Estrogen,Yes,Refrigerate 2-8°C
72,Semaglutide Extended Release,Semaglutide,NSAID,Pfizer India,Injection,100mg,Semaglutide Extended Release 100mg Injection is a glp-1 agonist used in the management of various conditions. Manufactured by Pfizer India. Each injection contains 100mg of active ingredient.,GLP-1 Agonist,Yes,Store away from light
73,Carvedilol,Carvedilol,Antipsychotic,GSK India,Tablet,6.25mg,Carvedilol 6.25mg Tablet is a alpha-beta blocker used in the management of various conditions. Manufactured by GSK India. Each tablet contains 6.25mg of active ingredient.,Alpha-Beta Blocker,No,Store in dry place
74,Esomeprazole,Esomeprazole,Urological,Zydus Cadila,Tablet,40mg,Esomeprazole 40mg Tablet is a proton pump inhibitor used in the management of various conditions. Manufactured by Zydus Cadila. Each tablet contains 40mg of active ingredient.,Proton Pump Inhibitor,No,Store away from light
75,Ezetimibe SR,Ezetimibe SR,NSAID,Mankind Pharma,Tablet,100mg,Ezetimibe SR 100mg Tablet is a cholesterol absorption inhibitor used in the management of various conditions. Manufactured by Mankind Pharma. Each tablet contains 100mg of active ingredient.,Cholesterol Absorption Inhibitor,Yes,Refrigerate 2-8°C
76,Heparin Junior,Heparin Junior,NSAID,Pfizer India,Injection,50mg,Heparin Junior 50mg Injection is a anticoagulant used in the management of various conditions. Manufactured by Pfizer India. Each injection contains 50mg of active ingredient.,Anticoagulant,Yes,Store away from light
77,Atorvastatin,Atorvastatin,Hormonal,Max Healthcare Pharma,Tablet,10mg,Atorvastatin 10mg Tablet is a statin used in the management of various conditions. Manufactured by Max Healthcare Pharma. Each tablet contains 10mg of active ingredient.,Statin,Yes,Refrigerate 2-8°C
78,Enoxaparin,Enoxaparin,Antipsychotic,Sanofi India,Injection,40mg/0.4ml,Enoxaparin 40mg/0.4ml Injection is a lmwh used in the management of various conditions. Manufactured by Sanofi India. Each injection contains 40mg/0.4ml of active ingredient.,LMWH,No,Store below 25°C
79,Spironolactone,Spironolactone,Statin,Aurobindo Pharma,Tablet,25mg,Spironolactone 25mg Tablet is a potassium-sparing diuretic used in the management of various conditions. Manufactured by Aurobindo Pharma. Each tablet contains 25mg of active ingredient.,Potassium-Sparing Diuretic,Yes,Store below 25°C
80,Metoprolol Plus,Metoprolol,Corticosteroid,Zydus Cadila,Tablet,20mg,Metoprolol Plus 20mg Tablet is a beta blocker used in the management of various conditions. Manufactured by Zydus Cadila. Each tablet contains 20mg of active ingredient.,Beta Blocker,Yes,Refrigerate 2-8°C
81,Hydrochlorothiazide Extended Release,Hydrochlorothiazide,Antihypertensive,GSK India,Tablet,20mg,Hydrochlorothiazide Extended Release 20mg Tablet is a diuretic used in the management of various conditions. Manufactured by GSK India. Each tablet contains 20mg of active ingredient.,Diuretic,Yes,Store away from light
82,Amiodarone IV,Amiodarone IV,Antidepressant,Sun Pharma,Tablet,25mg,Amiodarone IV 25mg Tablet is a antiarrhythmic used in the management of various conditions. Manufactured by Sun Pharma. Each tablet contains 25mg of active ingredient.,Antiarrhythmic,No,Refrigerate 2-8°C
83,Cotrimoxazole Forte,Cotrimoxazole Forte,Antihypertensive,Himalaya,Tablet,20mg,Cotrimoxazole Forte 20mg Tablet is a antibiotic used in the management of various conditions. Manufactured by Himalaya. Each tablet contains 20mg of active ingredient.,Antibiotic,Yes,Store in dry place
84,Desmopressin Sustained Release,Desmopressin,NSAID,Lupin,Tablet,250mg,Desmopressin Sustained Release 250mg Tablet is a adh analogue used in the management of various conditions. Manufactured by Lupin. Each tablet contains 250mg of active ingredient.,ADH Analogue,Yes,Store below 25°C
85,Zinc Sulfate Dispersible,Zinc Sulfate Dispersible,Antimalarial,Glenmark,Tablet,50mg,Zinc Sulfate Dispersible 50mg Tablet is a mineral used in the management of various conditions. Manufactured by Glenmark. Each tablet contains 50mg of active ingredient.,Mineral,Yes,Refrigerate 2-8°C
86,Dexamethasone SR,Dexamethasone SR,Immunosuppressant,Wockhardt,Tablet,1g,Dexamethasone SR 1g Tablet is a corticosteroid used in the management of various conditions. Manufactured by Wockhardt. Each tablet contains 1g of active ingredient.,Corticosteroid,Yes,Store in dry place
87,Solifenacin IV,Solifenacin IV,Antiviral,Aristo Pharma,Tablet,20mg,Solifenacin IV 20mg Tablet is a anticholinergic used in the management of various conditions. Manufactured by Aristo Pharma. Each tablet contains 20mg of active ingredient.,Anticholinergic,Yes,Store away from light
88,Venlafaxine Junior,Venlafaxine Junior,Ophthalmic,Elder Pharma,Capsule,100mg,Venlafaxine Junior 100mg Capsule is a snri antidepressant used in the management of various conditions. Manufactured by Elder Pharma. Each capsule contains 100mg of active ingredient.,SNRI Antidepressant,No,Refrigerate 2-8°C
89,Paracetamol Extended Release,Paracetamol,Antihypertensive,Emcure Pharma,Tablet,100mg,Paracetamol Extended Release 100mg Tablet is a analgesic/antipyretic used in the management of various conditions. Manufactured by Emcure Pharma. Each tablet contains 100mg of active ingredient.,Analgesic/Antipyretic,Yes,Store in dry place
90,Budesonide Extended Release,Budesonide,Antipsychotic,Sun Pharma,Inhaler,500mg,Budesonide Extended Release 500mg Inhaler is a corticosteroid inhaler used in the management of various conditions. Manufactured by Sun Pharma. Each inhaler contains 500mg of active ingredient.,Corticosteroid Inhaler,Yes,Store below 25°C
91,Amitriptyline Forte,Amitriptyline Forte,Antipsychotic,Dr. Reddy's,Tablet,250mg,Amitriptyline Forte 250mg Tablet is a tca antidepressant used in the management of various conditions. Manufactured by Dr. Reddy's. Each tablet contains 250mg of active ingredient.,TCA Antidepressant,No,Store away from light
92,Sofosbuvir,Sofosbuvir,NSAID,Pfizer India,Tablet,400mg,Sofosbuvir 400mg Tablet is a antiviral (hcv) used in the management of various conditions. Manufactured by Pfizer India. Each tablet contains 400mg of active ingredient.,Antiviral (HCV),Yes,Store below 25°C
93,Adenosine Dispersible,Adenosine Dispersible,Dermatological,IPCA Labs,Injection,100mg,Adenosine Dispersible 100mg Injection is a antiarrhythmic used in the management of various conditions. Manufactured by IPCA Labs. Each injection contains 100mg of active ingredient.,Antiarrhythmic,Yes,Store below 25°C
94,Omega-3 Fatty Acids Plus,Omega-3 Fatty Acids,Ophthalmic,Wockhardt,Capsule,25mg,Omega-3 Fatty Acids Plus 25mg Capsule is a supplement used in the management of various conditions. Manufactured by Wockhardt. Each capsule contains 25mg of active ingredient.,Supplement,No,Store away from light
95,Metformin,Metformin,Antibiotic,Pfizer India,Tablet,500mg,Metformin 500mg Tablet is a biguanide used in the management of various conditions. Manufactured by Pfizer India. Each tablet contains 500mg of active ingredient.,Biguanide,Yes,Store in dry place
96,Codeine,Codeine,Proton Pump Inhibitor,Novartis India,Tablet,30mg,Codeine 30mg Tablet is a opioid analgesic used in the management of various conditions. Manufactured by Novartis India. Each tablet contains 30mg of active ingredient.,Opioid Analgesic,Yes,Store in dry place
97,Ibuprofen XR,Ibuprofen XR,Antiepileptic,Johnson & Johnson,Tablet,500mg,Ibuprofen XR 500mg Tablet is a nsaid used in the management of various conditions. Manufactured by Johnson & Johnson. Each tablet contains 500mg of active ingredient.,NSAID,Yes,Refrigerate 2-8°C
98,Tobramycin Eye Drops XR,Tobramycin Eye Drops XR,Antibiotic,Lupin,Eye Drops,1g,Tobramycin Eye Drops XR 1g Eye Drops is a antibiotic used in the management of various conditions. Manufactured by Lupin. Each eye drops contains 1g of active ingredient.,Antibiotic,Yes,Store away from light
99,Naproxen Plus,Naproxen,Antibiotic,Abbott India,Tablet,250mg,Naproxen Plus 250mg Tablet is a nsaid used in the management of various conditions. Manufactured by Abbott India. Each tablet contains 250mg of active ingredient.,NSAID,Yes,Store below 25°C
100,Alprazolam,Alprazolam,Antihypertensive,Wockhardt,Tablet,0.25mg,Alprazolam 0.25mg Tablet is a benzodiazepine used in the management of various conditions. Manufactured by Wockhardt. Each tablet contains 0.25mg of active ingredient.,Benzodiazepine,Yes,Store away from light
101,Celecoxib,Celecoxib,Antidiabetic,Novartis India,Capsule,200mg,Celecoxib 200mg Capsule is a cox-2 inhibitor used in the management of various conditions. Manufactured by Novartis India. Each capsule contains 200mg of active ingredient.,COX-2 Inhibitor,Yes,Refrigerate 2-8°C
102,Vildagliptin Junior,Vildagliptin Junior,Ophthalmic,Pfizer India,Tablet,500mg,Vildagliptin Junior 500mg Tablet is a dpp-4 inhibitor used in the management of various conditions. Manufactured by Pfizer India. Each tablet contains 500mg of active ingredient.,DPP-4 Inhibitor,Yes,Store below 25°C
103,Bevacizumab Junior,Bevacizumab Junior,Antidiabetic,Aurobindo Pharma,Injection,500mg,Bevacizumab Junior 500mg Injection is a vegf inhibitor used in the management of various conditions. Manufactured by Aurobindo Pharma. Each injection contains 500mg of active ingredient.,VEGF Inhibitor,Yes,Store away from light
104,Furosemide SR,Furosemide SR,Immunosuppressant,Aurobindo Pharma,Tablet,25mg,Furosemide SR 25mg Tablet is a loop diuretic used in the management of various conditions. Manufactured by Aurobindo Pharma. Each tablet contains 25mg of active ingredient.,Loop Diuretic,Yes,Store below 25°C
