id,name,department,sample_type,description,turnaround_time,fasting_required,normal_range,cost_category
26,Serum LDH,Biochemistry,Blood (Plain),Tissue damage marker used in hemolysis and cancer,6 hours,Yes,Standardized,Advanced
27,Serial Blood Culture and Sensitivity,Microbiology,Blood (EDTA),serial method of Detects bacterial/fungal bloodstream infections,1 hour,12 hours,Standardized,Advanced
28,Rapid CT Scan Abdomen and Pelvis,Radiology,—,rapid method of Detailed abdominal organ and vascular imaging,48 hours,No,See report,Basic
29,Advanced PSA (Prostate Specific Antigen),Biochemistry,Blood (Plain),advanced method of Prostate cancer screening marker,2 hours,8 hours,Age/sex dependent,Advanced
30,Fluorescent GGT (Gamma-GT),Biochemistry,Blood (Plain),fluorescent method of Sensitive liver enzyme for alcohol and biliary disease,6 hours,8 hours,See report,Specialized
31,Ultrasound Thyroid,Radiology,—,Evaluates thyroid gland morphology and nodules,6 hours,No,Standardized,Basic
32,Extended Wound Swab Culture,Microbiology,Tissue,extended method of Identifies pathogens in infected wounds,1 hour,12 hours,Standardized,Standard
33,Conventional COVID-19 Antigen Test,Microbiology,Swab,conventional method of Rapid antigen detection for COVID-19,1 hour,8 hours,Age/sex dependent,Basic
34,Digital Mammography,Radiology,—,digital method of Breast tissue screening for cancer,24 hours,12 hours,Standardized,Standard
35,High-Sensitivity TSH (Thyroid Stimulating Hormone),Biochemistry,Blood (Plain),high-sensitivity method of Primary screening test for thyroid disorders,24 hours,8 hours,Lab-specific,Specialized
36,Confirmatory Core Needle Biopsy,Pathology,Swab,confirmatory method of Histological examination of solid tumors,24 hours,12 hours,Lab-specific,Advanced
37,Automated BAER (Brainstem Auditory Evoked Response),Neurology,—,automated method of Brainstem and auditory pathway assessment,24 hours,12 hours,Age/sex dependent,Specialized
38,Digital HbA1c (Glycated Hemoglobin),Biochemistry,Blood (EDTA),digital method of 3-month average blood glucose control marker,4 hours,12 hours,Standardized,Specialized
39,Serial Bronchoscopy,Endoscopy,—,serial method of Airway visualization and bronchial biopsy,48 hours,Yes,Age/sex dependent,Standard
40,Serial Serum Ferritin,Biochemistry,Blood (Plain),serial method of Iron storage marker for anemia and iron overload,24 hours,8 hours,Standardized,Advanced
41,Extended Rapid Plasma Reagin (RPR),Microbiology,Blood (Plain),extended method of Syphilis activity monitoring test,4 hours,Yes,Age/sex dependent,Standard
42,Quantitative Echocardiography (Echo),Cardiology,—,quantitative method of Cardiac structure and function assessment,24 hours,No,Lab-specific,Standard
43,Qualitative CT Scan Chest (HRCT),Radiology,—,qualitative method of High-resolution lung parenchyma imaging,48 hours,Yes,Standardized,Basic
44,Automated Visual Evoked Potential (VEP),Neurology,—,automated method of Optic nerve function assessment,1 hour,Yes,See report,Specialized
45,High-Sensitivity X-Ray Abdomen (Erect),Radiology,—,"high-sensitivity method of Evaluates bowel obstruction, perforation",4 hours,No,Age/sex dependent,Advanced
46,Quantitative Treponema Pallidum Antibody (TPHA),Microbiology,Blood (Plain),quantitative method of Confirmatory test for syphilis,2 hours,8 hours,Age/sex dependent,Advanced
47,Digital X-Ray Spine (Cervical/Lumbar),Radiology,—,digital method of Evaluates vertebral alignment and disc spaces,48 hours,No,Age/sex dependent,Advanced
48,Point-of-Care Serum Creatinine,Biochemistry,Blood (Plain),point-of-care method of Kidney function marker measuring creatinine clearance,2 hours,No,Standardized,Standard
49,Qualitative FeNO (Fractional Exhaled Nitric Oxide),Pulmonology,Breath,qualitative method of Airway eosinophilic inflammation marker,6 hours,Yes,See report,Advanced
50,Coronary Angiography (CAG),Cardiology,Blood (Citrate),Invasive visualization of coronary arteries,2 hours,8 hours,Lab-specific,Advanced
51,Hepatitis B Surface Antigen (HBsAg),Microbiology,Blood (Plain),Screens for active hepatitis B infection,Same day,No,See report,Standard
52,High-Sensitivity Allergy Panel (IgE),Immunology,Blood (Plain),high-sensitivity method of Identifies specific allergen sensitization,1 hour,Yes,See report,Specialized
53,Advanced Typhoid Widal Test,Microbiology,Blood (Plain),advanced method of Antibody test for Salmonella typhi,2 hours,No,Lab-specific,Basic
54,Quantitative Visual Evoked Potential (VEP),Neurology,—,quantitative method of Optic nerve function assessment,2 hours,8 hours,Standardized,Basic
55,Throat Swab Culture,Microbiology,Urine (Spot),Identifies Streptococcus and other pharyngeal pathogens,24 hours,12 hours,See report,Specialized
56,Fluorescent Doppler Ultrasound (Arterial/Venous),Radiology,—,fluorescent method of Blood flow assessment in vessels,24 hours,12 hours,Age/sex dependent,Standard
57,High-Sensitivity Nerve Conduction Velocity (NCV),Neurology,—,high-sensitivity method of Peripheral nerve function assessment,Same day,12 hours,Standardized,Basic
58,Qualitative Slit Lamp Examination,Ophthalmology,—,qualitative method of Anterior segment eye examination,72 hours,Yes,Standardized,Specialized
59,Fibrinogen Level,Hematology,Blood (Citrate),Measures fibrinogen for coagulation assessment,24 hours,Yes,Age/sex dependent,Advanced
60,Conventional CA 19-9,Biochemistry,Blood (Plain),conventional method of Pancreatic cancer monitoring marker,48 hours,Yes,Standardized,Specialized
61,Digital Hepatitis B Surface Antigen (HBsAg),Microbiology,Blood (Plain),digital method of Screens for active hepatitis B infection,72 hours,Yes,Standardized,Basic
62,Nerve Conduction Velocity (NCV),Neurology,—,Peripheral nerve function assessment,72 hours,Yes,Standardized,Specialized
63,Qualitative Rapid Plasma Reagin (RPR),Microbiology,Blood (Plain),qualitative method of Syphilis activity monitoring test,2 hours,Yes,Lab-specific,Basic
64,Conventional BCR-ABL PCR,Neurology,Urine (Spot),conventional method of CML monitoring and diagnosis,24 hours,No,Standardized,Basic
65,Point-of-Care HbA1c (Glycated Hemoglobin),Biochemistry,Blood (EDTA),point-of-care method of 3-month average blood glucose control marker,24 hours,8 hours,Standardized,Standard
66,Conventional Throat Swab Culture,Microbiology,CSF,conventional method of Identifies Streptococcus and other pharyngeal pathogens,48 hours,Yes,See report,Standard
67,Digital Lymph Node Biopsy,Pathology,Tissue,digital method of Diagnosis of lymphoma and metastatic disease,1 hour,12 hours,See report,Standard
68,Confirmatory HLA-B27,Immunology,Blood (EDTA),confirmatory method of Genetic marker for ankylosing spondylitis,72 hours,8 hours,Standardized,Basic
69,Point-of-Care Blood Urea Nitrogen,Biochemistry,Blood (Plain),point-of-care method of Assesses kidney function and protein catabolism,Same day,Yes,Standardized,Standard
70,Extended H. Pylori Urea Breath Test,Gastroenterology,Breath,extended method of Non-invasive H. pylori detection,72 hours,8 hours,Lab-specific,Basic
71,Quantitative Mammography,Radiology,—,quantitative method of Breast tissue screening for cancer,Same day,8 hours,Standardized,Basic
72,Rapid Platelet Count,Hematology,Blood (EDTA),rapid method of Quantifies platelets for bleeding/clotting assessment,4 hours,Yes,Lab-specific,Advanced
73,Immunoassay Anti-TPO Antibody,Immunology,Blood (Plain),immunoassay method of Hashimoto's thyroiditis diagnosis,72 hours,No,See report,Advanced
74,High-Sensitivity Allergy Panel (IgE) (73),Immunology,Blood (Plain),high-sensitivity method of Identifies specific allergen sensitization,4 hours,12 hours,See report,Specialized
75,Fluorescent X-Ray Knee/Hip/Shoulder,Radiology,—,fluorescent method of Joint space evaluation for arthritis and fractures,4 hours,No,Age/sex dependent,Advanced
76,Qualitative CSF Culture and Analysis,Microbiology,CSF,qualitative method of Evaluates meningitis and CNS infections,6 hours,12 hours,See report,Basic
77,Conventional MRSA Screening,Microbiology,Blood (Citrate),conventional method of Screens for methicillin-resistant Staphylococcus aureus,4 hours,No,See report,Advanced
78,Advanced Serum Ferritin,Biochemistry,Blood (Plain),advanced method of Iron storage marker for anemia and iron overload,72 hours,8 hours,Standardized,Basic
79,Serum Creatinine,Biochemistry,Blood (Plain),Kidney function marker measuring creatinine clearance,24 hours,Yes,Standardized,Advanced
80,Qualitative EMG (Electromyography),Neurology,—,qualitative method of Muscle electrical activity assessment,1 hour,8 hours,Standardized,Advanced
81,Rapid COVID-19 RT-PCR,Microbiology,Blood (Plain),rapid method of Molecular detection of SARS-CoV-2,2 hours,Yes,Age/sex dependent,Specialized
82,Cardiac Catheterization,Cardiology,Stool,Hemodynamic assessment of cardiac chambers,48 hours,No,Lab-specific,Basic
83,Immunoassay Urine Microalbumin,Biochemistry,Urine (Spot),immunoassay method of Early diabetic nephropathy detection,1 hour,No,See report,Standard
84,HLA Typing,Genetics,Blood (EDTA),Organ transplant matching and disease association,6 hours,12 hours,Age/sex dependent,Specialized
85,Rapid Lipid Profile,Biochemistry,Blood (Plain),"rapid method of Measures cholesterol, LDL, HDL, triglycerides",72 hours,Yes,Lab-specific,Advanced
86,Fundus Photography,Ophthalmology,—,Retina and optic disc imaging,2 hours,Yes,Lab-specific,Standard
87,Automated Coagulation Profile (PT/INR/aPTT),Hematology,Blood (Citrate),automated method of Assesses clotting factor function and anticoagulation therapy,4 hours,8 hours,Lab-specific,Advanced
88,Platelet Count,Hematology,Blood (EDTA),Quantifies platelets for bleeding/clotting assessment,1 hour,8 hours,See report,Basic
89,CT Scan Chest (HRCT),Radiology,—,High-resolution lung parenchyma imaging,2 hours,8 hours,See report,Specialized
90,Advanced PET Scan,Radiology,—,advanced method of Metabolic imaging for cancer staging and response,4 hours,8 hours,Lab-specific,Advanced
91,Rapid Liver Function Tests,Biochemistry,Blood (Plain),"rapid method of Panel measuring bilirubin, albumin, liver enzymes",6 hours,No,Standardized,Advanced
92,Point-of-Care HLA Typing,Genetics,Blood (EDTA),point-of-care method of Organ transplant matching and disease association,72 hours,No,See report,Standard
93,Point-of-Care Coagulation Profile (PT/INR/aPTT),Hematology,Blood (Citrate),point-of-care method of Assesses clotting factor function and anticoagulation therapy,48 hours,Yes,Lab-specific,Standard
94,Fluorescent Anti-TPO Antibody,Immunology,Blood (Plain),fluorescent method of Hashimoto's thyroiditis diagnosis,4 hours,Yes,Standardized,Basic
95,Extended Echocardiography (Echo),Cardiology,—,extended method of Cardiac structure and function assessment,4 hours,No,Standardized,Specialized
96,Serial Doppler Ultrasound (Arterial/Venous),Radiology,—,serial method of Blood flow assessment in vessels,6 hours,8 hours,Standardized,Basic
97,Serum Bilirubin (Total/Direct),Biochemistry,Blood (Plain),Measures bilirubin for jaundice evaluation,48 hours,Yes,Age/sex dependent,Advanced
98,HCG (Beta),Biochemistry,Blood (EDTA),Pregnancy test and testicular/trophoblastic tumor marker,6 hours,8 hours,Standardized,Advanced
99,Sigmoidoscopy,Endoscopy,—,Sigmoid colon and rectum examination,6 hours,No,Standardized,Advanced
100,Digital Ultrasound Thyroid,Radiology,—,digital method of Evaluates thyroid gland morphology and nodules,4 hours,No,Age/sex dependent,Advanced
101,Stool Culture,Microbiology,Stool,Identifies enteric pathogens in GI infections,2 hours,12 hours,See report,Advanced
102,Extended Pap Smear,Pathology,Blood (Plain),extended method of Cervical cancer screening,2 hours,No,See report,Specialized
103,Point-of-Care Anti-TPO Antibody,Immunology,Blood (Plain),point-of-care method of Hashimoto's thyroiditis diagnosis,Same day,12 hours,Age/sex dependent,Advanced
104,Digital Typhoid Widal Test,Microbiology,Blood (Plain),digital method of Antibody test for Salmonella typhi,24 hours,8 hours,Age/sex dependent,Specialized
105,Quantitative CEA (Carcinoembryonic Antigen),Biochemistry,Blood (Plain),quantitative method of Tumor marker for colorectal cancer monitoring,72 hours,12 hours,Standardized,Standard
106,High-Sensitivity Spirometry (PFT),Pulmonology,Breath,high-sensitivity method of Lung function assessment for asthma and COPD,72 hours,8 hours,See report,Advanced
107,Qualitative CT Scan Abdomen and Pelvis,Radiology,—,qualitative method of Detailed abdominal organ and vascular imaging,24 hours,Yes,Age/sex dependent,Specialized
108,Serum Electrolytes (Na/K/Cl),Biochemistry,Blood (Plain),"Measures sodium, potassium, chloride levels",Same day,8 hours,Lab-specific,Specialized
109,AFP (Alpha-Fetoprotein),Biochemistry,Blood (Plain),Liver cancer and prenatal screening marker,24 hours,No,Lab-specific,Specialized
110,Dengue NS1 Antigen,Microbiology,Blood (Plain),Early dengue fever detection antigen,Same day,No,Age/sex dependent,Advanced
111,Liver Biopsy,Pathology,Urine (Mid-Stream),Hepatic fibrosis staging and diagnosis,Same day,12 hours,Lab-specific,Standard
112,Fluorescent Cardiac Catheterization,Cardiology,Arterial Blood,fluorescent method of Hemodynamic assessment of cardiac chambers,Same day,No,Age/sex dependent,Specialized
113,Confirmatory Intraocular Pressure (Tonometry),Ophthalmology,—,confirmatory method of Glaucoma screening and monitoring,6 hours,12 hours,Lab-specific,Basic
114,OCT (Optical Coherence Tomography),Ophthalmology,—,Retinal layer cross-sectional imaging,Same day,No,Lab-specific,Specialized
115,High-Sensitivity Vitamin B12,Biochemistry,Blood (Plain),high-sensitivity method of Measures cobalamin for neuropathy and anemia,4 hours,12 hours,Age/sex dependent,Standard
116,Conventional Nerve Conduction Velocity (NCV),Neurology,—,conventional method of Peripheral nerve function assessment,48 hours,12 hours,Age/sex dependent,Advanced
117,Rapid Ultrasound Obstetric,Radiology,—,"rapid method of Fetal growth, placenta, amniotic fluid assessment",24 hours,No,Age/sex dependent,Basic
118,Conventional Vitamin B12,Biochemistry,Blood (Plain),conventional method of Measures cobalamin for neuropathy and anemia,Same day,Yes,Standardized,Advanced
119,Slit Lamp Examination,Ophthalmology,—,Anterior segment eye examination,1 hour,Yes,Lab-specific,Specialized
120,Automated Intraocular Pressure (Tonometry),Ophthalmology,—,automated method of Glaucoma screening and monitoring,72 hours,12 hours,Age/sex dependent,Advanced
121,Immunoassay Urine Microalbumin (120),Biochemistry,Urine (Spot),immunoassay method of Early diabetic nephropathy detection,6 hours,8 hours,See report,Advanced
122,Skin Biopsy,Pathology,Tissue,Histological skin lesion diagnosis,72 hours,Yes,Standardized,Advanced
123,High-Sensitivity Sigmoidoscopy,Endoscopy,—,high-sensitivity method of Sigmoid colon and rectum examination,48 hours,8 hours,See report,Standard
124,Serial Typhoid Widal Test,Microbiology,Blood (Plain),serial method of Antibody test for Salmonella typhi,4 hours,Yes,Age/sex dependent,Basic
125,Serial Treadmill Test (TMT/Exercise Stress Test),Cardiology,—,serial method of Exercise-induced cardiac ischemia assessment,1 hour,Yes,Age/sex dependent,Basic
126,TSH (Thyroid Stimulating Hormone),Biochemistry,Blood (Plain),Primary screening test for thyroid disorders,Same day,No,See report,Advanced
127,Qualitative Slit Lamp Examination (126),Ophthalmology,—,qualitative method of Anterior segment eye examination,6 hours,Yes,See report,Basic
128,Fluorescent C-Peptide,Biochemistry,Blood (Plain),fluorescent method of Distinguishes Type 1 from Type 2 diabetes,2 hours,8 hours,Age/sex dependent,Specialized
129,Serum Amylase,Biochemistry,Blood (Plain),Pancreatic enzyme elevated in acute pancreatitis,48 hours,No,Lab-specific,Standard
130,Fluorescent JAK2 Mutation,Endoscopy,Blood (EDTA),fluorescent method of Polycythemia vera and MPN diagnosis,Same day,8 hours,Lab-specific,Standard
131,Automated Core Needle Biopsy,Pathology,Blood (EDTA),automated method of Histological examination of solid tumors,24 hours,No,Lab-specific,Advanced
132,Confirmatory Typhoid Widal Test,Microbiology,Blood (Plain),confirmatory method of Antibody test for Salmonella typhi,6 hours,Yes,Lab-specific,Basic
133,Digital Anti-TPO Antibody,Immunology,Blood (Plain),digital method of Hashimoto's thyroiditis diagnosis,Same day,12 hours,See report,Basic
134,Conventional FeNO (Fractional Exhaled Nitric Oxide),Pulmonology,Breath,conventional method of Airway eosinophilic inflammation marker,6 hours,12 hours,Lab-specific,Standard
135,Extended CEA (Carcinoembryonic Antigen),Biochemistry,Blood (Plain),extended method of Tumor marker for colorectal cancer monitoring,72 hours,No,Lab-specific,Standard
136,Conventional PET Scan,Radiology,—,conventional method of Metabolic imaging for cancer staging and response,Same day,Yes,See report,Standard
137,High-Sensitivity Thyroglobulin Antibody,Biochemistry,Blood (Plain),high-sensitivity method of Thyroid autoimmunity and cancer monitoring,Same day,12 hours,Standardized,Advanced
138,Point-of-Care SGPT/ALT,Biochemistry,Blood (Plain),point-of-care method of Liver-specific enzyme for hepatocellular damage,6 hours,No,See report,Basic
139,Confirmatory Urine Microalbumin,Biochemistry,Urine (Spot),confirmatory method of Early diabetic nephropathy detection,48 hours,12 hours,Standardized,Standard
140,Conventional MRI Knee,Radiology,—,"conventional method of Ligament, meniscus, and cartilage evaluation",48 hours,12 hours,See report,Specialized
141,Fluorescent MRSA Screening,Microbiology,Blood (Fluoride Oxalate),fluorescent method of Screens for methicillin-resistant Staphylococcus aureus,72 hours,12 hours,Age/sex dependent,Specialized
142,Conventional Hemoglobin Estimation,Hematology,Blood (EDTA),conventional method of Measures hemoglobin concentration in blood,1 hour,12 hours,Standardized,Advanced
143,Advanced Electrocardiogram (ECG/EKG),Cardiology,—,advanced method of 12-lead cardiac electrical activity recording,6 hours,8 hours,Lab-specific,Basic
144,Serial CD4 Count (T-Cell),Immunology,Blood (EDTA),serial method of HIV disease progression monitoring,48 hours,No,Standardized,Standard
145,Rapid Anti-HCV Antibody,Microbiology,Blood (Plain),rapid method of Screens for hepatitis C infection,6 hours,8 hours,Age/sex dependent,Advanced
146,Conventional Serum Iron and TIBC,Biochemistry,Blood (Plain),conventional method of Iron metabolism panel for anemia classification,Same day,No,Age/sex dependent,Standard
147,Peripheral Blood Smear,Hematology,Blood (EDTA),Microscopic examination of blood cells for morphology,48 hours,12 hours,See report,Standard
148,Colonoscopy,Endoscopy,—,Colon and rectum visualization for polyps/cancer,2 hours,12 hours,See report,Advanced
149,Point-of-Care Treponema Pallidum Antibody (TPHA),Microbiology,Blood (Plain),point-of-care method of Confirmatory test for syphilis,24 hours,8 hours,Standardized,Basic
150,Point-of-Care Liver Biopsy,Pathology,Stool,point-of-care method of Hepatic fibrosis staging and diagnosis,48 hours,12 hours,Standardized,Basic
151,Immunoassay Holter Monitor (24-hour ECG),Cardiology,—,immunoassay method of Continuous cardiac rhythm monitoring,48 hours,8 hours,Age/sex dependent,Standard
152,Pap Smear,Pathology,Urine (Mid-Stream),Cervical cancer screening,24 hours,8 hours,Standardized,Standard
153,Digital D-Dimer,Hematology,Blood (Citrate),digital method of Fibrin degradation product indicating thrombosis or DIC,4 hours,No,Lab-specific,Basic
154,Automated X-Ray Abdomen (Erect),Radiology,—,"automated method of Evaluates bowel obstruction, perforation",48 hours,8 hours,See report,Standard
155,Digital Vitamin B12,Biochemistry,Blood (Plain),digital method of Measures cobalamin for neuropathy and anemia,2 hours,No,See report,Basic
156,Confirmatory Echocardiography (Echo),Cardiology,—,confirmatory method of Cardiac structure and function assessment,Same day,Yes,Age/sex dependent,Advanced
157,Extended Fasting Blood Glucose,Biochemistry,Blood (Fluoride Oxalate),extended method of Measures blood sugar after 8-hour fast,4 hours,8 hours,Lab-specific,Advanced
158,Serial FISH (Fluorescence In-Situ Hybridization),Genetics,Urine (Mid-Stream),serial method of Specific chromosomal deletion/translocation detection,4 hours,No,Standardized,Specialized
159,H. Pylori Urea Breath Test,Gastroenterology,Breath,Non-invasive H. pylori detection,4 hours,Yes,Lab-specific,Basic
160,Conventional COVID-19 RT-PCR,Microbiology,CSF,conventional method of Molecular detection of SARS-CoV-2,1 hour,No,Age/sex dependent,Advanced
161,Blood Culture and Sensitivity,Microbiology,Urine (Spot),Detects bacterial/fungal bloodstream infections,4 hours,No,See report,Standard
162,Intraocular Pressure (Tonometry),Ophthalmology,—,Glaucoma screening and monitoring,2 hours,Yes,See report,Specialized
163,Digital 24-Hour Urine Protein,Biochemistry,Urine (24h),digital method of Quantifies proteinuria for renal disease staging,4 hours,Yes,Standardized,Specialized
164,Rapid Nerve Conduction Velocity (NCV),Neurology,—,rapid method of Peripheral nerve function assessment,4 hours,No,Lab-specific,Standard
165,High-Sensitivity Fasting Blood Glucose,Biochemistry,Blood (Fluoride Oxalate),high-sensitivity method of Measures blood sugar after 8-hour fast,1 hour,8 hours,Lab-specific,Specialized
166,Confirmatory MRSA Screening,Microbiology,Sputum,confirmatory method of Screens for methicillin-resistant Staphylococcus aureus,1 hour,Yes,Standardized,Standard
167,Automated Ultrasound Obstetric,Radiology,—,"automated method of Fetal growth, placenta, amniotic fluid assessment",4 hours,Yes,Standardized,Standard
168,Point-of-Care Allergy Panel (IgE),Immunology,Blood (Plain),point-of-care method of Identifies specific allergen sensitization,4 hours,No,Age/sex dependent,Specialized
169,FISH (Fluorescence In-Situ Hybridization),Genetics,Stool,Specific chromosomal deletion/translocation detection,6 hours,12 hours,Lab-specific,Basic
170,Digital Intraocular Pressure (Tonometry),Ophthalmology,—,digital method of Glaucoma screening and monitoring,6 hours,No,See report,Basic
171,Point-of-Care COVID-19 Antigen Test,Microbiology,Urine (Spot),point-of-care method of Rapid antigen detection for COVID-19,4 hours,Yes,Age/sex dependent,Advanced
172,CT Pulmonary Angiography (CTPA),Radiology,—,Gold standard for pulmonary embolism diagnosis,72 hours,12 hours,Standardized,Advanced
173,Rapid Lumbar Puncture (CSF Analysis),Neurology,CSF,rapid method of CNS infection and demyelination diagnosis,24 hours,12 hours,Age/sex dependent,Advanced
174,Complete Blood Count,Hematology,Blood (EDTA),"Routine blood test measuring RBC, WBC, platelets, hemoglobin, and hematocrit",4 hours,12 hours,Lab-specific,Basic
175,Immunoassay X-Ray Abdomen (Erect),Radiology,—,"immunoassay method of Evaluates bowel obstruction, perforation",6 hours,Yes,Age/sex dependent,Specialized
176,Digital Holter Monitor (24-hour ECG),Cardiology,—,digital method of Continuous cardiac rhythm monitoring,2 hours,12 hours,Standardized,Advanced
177,Advanced C-Peptide,Biochemistry,Blood (Plain),advanced method of Distinguishes Type 1 from Type 2 diabetes,Same day,8 hours,See report,Specialized
178,High-Sensitivity Upper GI Endoscopy (OGD Scope) (177),Endoscopy,—,"high-sensitivity method of Visualization of esophagus, stomach, duodenum",72 hours,No,See report,Standard
179,Automated Fibrinogen Level,Hematology,Blood (Citrate),automated method of Measures fibrinogen for coagulation assessment,48 hours,No,Standardized,Standard
180,MRI Spine,Radiology,—,Spinal cord and disc herniation assessment,Same day,12 hours,Lab-specific,Standard
181,Serial Anti-TPO Antibody,Immunology,Blood (Plain),serial method of Hashimoto's thyroiditis diagnosis,1 hour,No,Standardized,Specialized
182,High-Sensitivity MRI Spine,Radiology,—,high-sensitivity method of Spinal cord and disc herniation assessment,72 hours,12 hours,Standardized,Advanced
183,Rapid Urine Microalbumin,Biochemistry,Urine (Spot),rapid method of Early diabetic nephropathy detection,24 hours,No,Standardized,Standard
184,Advanced Skin Biopsy,Pathology,Urine (Spot),advanced method of Histological skin lesion diagnosis,1 hour,No,Lab-specific,Basic
185,Urine Microalbumin,Biochemistry,Urine (Spot),Early diabetic nephropathy detection,Same day,8 hours,See report,Specialized
186,Advanced Nerve Conduction Velocity (NCV),Neurology,—,advanced method of Peripheral nerve function assessment,72 hours,12 hours,Standardized,Basic
187,Point-of-Care CSF Culture and Analysis,Microbiology,CSF,point-of-care method of Evaluates meningitis and CNS infections,Same day,8 hours,Standardized,Basic
188,Quantitative Urine Bence-Jones Protein,Biochemistry,Urine (24h),quantitative method of Multiple myeloma screening marker,72 hours,Yes,Age/sex dependent,Specialized
189,Immunoassay Pap Smear,Pathology,Blood (Fluoride Oxalate),immunoassay method of Cervical cancer screening,Same day,No,See report,Basic
190,High-Sensitivity Stool for Ova and Parasite,Microbiology,Stool,high-sensitivity method of Intestinal parasitic infection detection,4 hours,8 hours,See report,Basic
191,Serial Anti-CCP Antibody,Immunology,Blood (Plain),serial method of Highly specific marker for rheumatoid arthritis,6 hours,8 hours,See report,Advanced
192,Extended Lipid Profile,Biochemistry,Blood (Plain),"extended method of Measures cholesterol, LDL, HDL, triglycerides",48 hours,8 hours,Standardized,Specialized
193,Serial FeNO (Fractional Exhaled Nitric Oxide),Pulmonology,Breath,serial method of Airway eosinophilic inflammation marker,24 hours,8 hours,Age/sex dependent,Basic
194,Serial HIV ELISA (1&2),Microbiology,Blood (Plain),serial method of Screening test for HIV infection,2 hours,12 hours,Standardized,Advanced
195,Rapid Urine Routine and Microscopy,Biochemistry,Urine (Mid-Stream),"rapid method of Screens for UTI, renal disease, metabolic disorders",1 hour,Yes,Lab-specific,Advanced
196,Serum Ferritin,Biochemistry,Blood (Plain),Iron storage marker for anemia and iron overload,24 hours,12 hours,Age/sex dependent,Standard
